mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__estimator__alpha,param_regressor__estimator__hidden_layer_sizes,param_regressor__estimator__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.6518091201782226,0.04318243915390415,0.0124725341796875,0.0014078457376799918,0.001,"(128, 64)",0.003,"{'regressor__estimator__alpha': 0.001, 'regressor__estimator__hidden_layer_sizes': (128, 64), 'regressor__estimator__learning_rate_init': 0.003}",0.9935706204024171,0.9956810645865648,0.9936677488377404,0.9895589458643599,0.995336302640381,0.9935629364662926,0.002175972414243209,1,0.9940680235205257,0.9949129031430912,0.9936031042594166,0.9922084258291732,0.9951619955924897,0.9939908904689393,0.0010540495648367104
1.4851534366607666,0.117596488901481,0.012218713760375977,0.003399111837038753,0.0001,"(128, 64)",0.003,"{'regressor__estimator__alpha': 0.0001, 'regressor__estimator__hidden_layer_sizes': (128, 64), 'regressor__estimator__learning_rate_init': 0.003}",0.9924822548430522,0.9957177893087119,0.9923155583149224,0.9903799217529887,0.9953467238003535,0.9932484496040057,0.0020092877236134103,2,0.9929682165552725,0.9949707942723005,0.9922799386402948,0.9926675141374043,0.9953009059551282,0.9936374739120801,0.0012471069507535332
1.4754538536071777,0.052060057179857816,0.006513547897338867,0.0013947342146424138,0.01,"(128, 64)",0.003,"{'regressor__estimator__alpha': 0.01, 'regressor__estimator__hidden_layer_sizes': (128, 64), 'regressor__estimator__learning_rate_init': 0.003}",0.9880849431918011,0.9894477969248558,0.9883697198817791,0.9867904452931977,0.9891788714302548,0.9883743553443777,0.0009372379517428932,3,0.9885597240661321,0.9886061842017768,0.9882521976321075,0.9898692330641892,0.9892445517906855,0.9889063781509781,0.0005796013470368987
0.9142810344696045,0.04635277461459511,0.01003580093383789,0.0022583619225044803,0.01,"(64, 32)",0.003,"{'regressor__estimator__alpha': 0.01, 'regressor__estimator__hidden_layer_sizes': (64, 32), 'regressor__estimator__learning_rate_init': 0.003}",0.9875807399367553,0.987865258694262,0.9872095076457782,0.986052532204479,0.9879345382541238,0.9873285153470797,0.0006872074274066008,4,0.9866294191004834,0.9888473580693886,0.9874195291620551,0.9873365290725062,0.9892133202111076,0.9878892311231082,0.000978207031200913
0.9136945247650147,0.048551216334689305,0.01061697006225586,0.003314454998080701,0.001,"(64, 32)",0.003,"{'regressor__estimator__alpha': 0.001, 'regressor__estimator__hidden_layer_sizes': (64, 32), 'regressor__estimator__learning_rate_init': 0.003}",0.9873901415163344,0.9892183461636064,0.9863382475700666,0.9856868871780347,0.985003836054692,0.9867274916965467,0.0014730117640657412,5,0.9885588679543047,0.9896431103050847,0.9866065363565321,0.9869032709086437,0.9853645852882136,0.9874152741625558,0.0015094760460997165
0.7981589317321778,0.08914011548595456,0.008002567291259765,0.0011936731678896758,0.0001,"(64, 32)",0.003,"{'regressor__estimator__alpha': 0.0001, 'regressor__estimator__hidden_layer_sizes': (64, 32), 'regressor__estimator__learning_rate_init': 0.003}",0.9869679544118051,0.9874987246303544,0.9861613018678146,0.9844758140629001,0.9852847116801099,0.9860777013305968,0.0010966970612768178,6,0.9883090644064368,0.9880285569279512,0.9861531829685073,0.9856338919594617,0.985677318533486,0.9867604029591686,0.0011676799038666137
1.6643618583679198,0.05192615897978769,0.012281656265258789,0.0018485695194565533,0.0001,"(128, 64)",0.001,"{'regressor__estimator__alpha': 0.0001, 'regressor__estimator__hidden_layer_sizes': (128, 64), 'regressor__estimator__learning_rate_init': 0.001}",0.9836142981322179,0.9827818826323946,0.9838157903903859,0.9796109449006354,0.98444047602786,0.9828526784166988,0.0017054382868447763,7,0.9832259605526865,0.9820756588738697,0.9820920849561416,0.9835487006150376,0.9854534891535445,0.9832791788302562,0.0012378006067923887
1.6230124950408935,0.21545122945035375,0.010076284408569336,0.0012476903987850361,0.001,"(128, 64)",0.001,"{'regressor__estimator__alpha': 0.001, 'regressor__estimator__hidden_layer_sizes': (128, 64), 'regressor__estimator__learning_rate_init': 0.001}",0.9823985474999581,0.981549588553974,0.9833731059308191,0.9780273580923842,0.9837044863304079,0.9818106172815085,0.0020373982813412547,8,0.9821618864537747,0.9809930804365384,0.9819145188163072,0.9823280888552537,0.9846916792037977,0.9824178507531343,0.001226962447476459
1.497432327270508,0.0681541957194576,0.008379602432250976,0.0016270973678791062,0.01,"(128, 64)",0.001,"{'regressor__estimator__alpha': 0.01, 'regressor__estimator__hidden_layer_sizes': (128, 64), 'regressor__estimator__learning_rate_init': 0.001}",0.9803838471031556,0.9770837905917089,0.980978229822306,0.9759454736880684,0.9838660893417184,0.9796514861093915,0.002842079177271945,9,0.9805901608696757,0.9778796542381812,0.978709382011356,0.9805452048994897,0.9838551302527334,0.9803159064542871,0.0020576755819631453
0.8366528511047363,0.08926671893093255,0.008028268814086914,0.0023121101177406953,0.01,"(64, 32)",0.001,"{'regressor__estimator__alpha': 0.01, 'regressor__estimator__hidden_layer_sizes': (64, 32), 'regressor__estimator__learning_rate_init': 0.001}",0.9611166485702629,0.9571037361039565,0.9584534518377437,0.9586188673027034,0.9596753725199341,0.9589936152669202,0.0013398447056765994,10,0.9627876292690201,0.9571433583009035,0.9586174636312983,0.9587172872439712,0.9624473979078767,0.959942627270614,0.002256605234987704
0.9351204872131348,0.04851668225619477,0.023817014694213868,0.013296310652930127,0.001,"(64, 32)",0.001,"{'regressor__estimator__alpha': 0.001, 'regressor__estimator__hidden_layer_sizes': (64, 32), 'regressor__estimator__learning_rate_init': 0.001}",0.9504828959428514,0.950615543967904,0.9549524950505461,0.9573859695074535,0.9529534050461211,0.9532780619029753,0.0026338560259257697,11,0.9525805738268996,0.9513371291917525,0.954116781597457,0.9567208920484274,0.9558170697857848,0.9541144892900644,0.00198790073704468
0.7249367713928223,0.07693847575854584,0.00736851692199707,0.0006804725612624047,0.0001,"(64, 32)",0.001,"{'regressor__estimator__alpha': 0.0001, 'regressor__estimator__hidden_layer_sizes': (64, 32), 'regressor__estimator__learning_rate_init': 0.001}",0.9499687146348812,0.9503572709967791,0.9522924115620457,0.9563001264052533,0.9527125623882765,0.9523262171974471,0.0022528616155005374,12,0.952117445476391,0.9509558594750408,0.9505815847018242,0.9555833624488139,0.955485598895178,0.9529447701994496,0.002174527869799876
0.35211811065673826,0.048576589062847425,0.009034490585327149,0.00251088370458494,0.01,"(32,)",0.003,"{'regressor__estimator__alpha': 0.01, 'regressor__estimator__hidden_layer_sizes': (32,), 'regressor__estimator__learning_rate_init': 0.003}",0.9040239262886804,0.9037928774107234,0.9004572948578415,0.9047673646642511,0.9045964482660716,0.9035275822975137,0.0015762575038668705,13,0.9059333683953956,0.9058388033868754,0.9051213595412284,0.9059553916686989,0.9049576593681761,0.905561316472075,0.00043097120140764663
0.4517721652984619,0.03130607063594746,0.013898181915283202,0.013270484904182697,0.001,"(32,)",0.003,"{'regressor__estimator__alpha': 0.001, 'regressor__estimator__hidden_layer_sizes': (32,), 'regressor__estimator__learning_rate_init': 0.003}",0.894290672013645,0.8960876238562865,0.8901106880129916,0.8970460773466751,0.8986796570365944,0.8952429436532385,0.002933347707776371,14,0.8973823612880828,0.8983165620050177,0.8939333868296684,0.8989382506126475,0.8968406565637794,0.8970822434598391,0.0017338995264314218
0.3347519874572754,0.044697268245853974,0.008424139022827149,0.0057887342584812,0.0001,"(32,)",0.003,"{'regressor__estimator__alpha': 0.0001, 'regressor__estimator__hidden_layer_sizes': (32,), 'regressor__estimator__learning_rate_init': 0.003}",0.8929615634175401,0.8951631352350483,0.8886221441741149,0.8959286096997,0.8981073793804026,0.8941565663813613,0.0032193198966328084,15,0.8961677020338072,0.8972939923446291,0.8922971173082571,0.8979547064061872,0.8959375065198902,0.8959302049225542,0.0019603217181972093
0.4734628677368164,0.03873230211201339,0.007201194763183594,0.0017909654663674991,0.01,"(32,)",0.001,"{'regressor__estimator__alpha': 0.01, 'regressor__estimator__hidden_layer_sizes': (32,), 'regressor__estimator__learning_rate_init': 0.001}",0.7820009179394283,0.7921913733389282,0.7956039151677412,0.7810761696549033,0.8224821890291065,0.7946709130260214,0.015005542348058966,16,0.7974612923657869,0.7980567537103708,0.7947376833719018,0.7870916008368352,0.801382006888985,0.7957458674347759,0.004815842843632363
0.6271373271942139,0.029212919158794804,0.007340764999389649,0.0023208511533812006,0.001,"(32,)",0.001,"{'regressor__estimator__alpha': 0.001, 'regressor__estimator__hidden_layer_sizes': (32,), 'regressor__estimator__learning_rate_init': 0.001}",0.7710513194360686,0.7841596695870943,0.7876679270959712,0.7717490468328745,0.8168606671710122,0.7862977260246041,0.016641268508810047,17,0.7893337929384783,0.7893506840990896,0.7858310225372744,0.7788709466414574,0.7944744796623904,0.787572185175738,0.005150751185499305
0.5316144466400147,0.018381000222576594,0.0069121837615966795,0.0005741310750110215,0.0001,"(32,)",0.001,"{'regressor__estimator__alpha': 0.0001, 'regressor__estimator__hidden_layer_sizes': (32,), 'regressor__estimator__learning_rate_init': 0.001}",0.7697933208144749,0.7831529925813945,0.7866723891910896,0.7706834994872211,0.8162053355567378,0.7853015075261837,0.016826954769426423,18,0.788350957982227,0.7882599296854017,0.7847445302757043,0.7779403348452905,0.7936941341151301,0.7865979773807507,0.005188073000526892
