mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__hidden_layer_sizes,param_regressor__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.46756410598754883,0.04504320205265097,0.005301380157470703,0.0004979966745484848,0.01,"(128, 64)",0.003,"{'regressor__alpha': 0.01, 'regressor__hidden_layer_sizes': (128, 64), 'regressor__learning_rate_init': 0.003}",0.9994728095835208,0.9992560126862308,0.9990394786412948,0.9993032385331218,0.9993584805899962,0.999286004006833,0.00014291287041429728,1,0.9993582201317754,0.9994382510406927,0.9992853800345215,0.999375913773528,0.9993570635796247,0.9993629657120285,4.8810707968119244e-05
0.5897507190704345,0.07466170578599009,0.021935415267944337,0.019818649310013526,0.001,"(128, 64)",0.003,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (128, 64), 'regressor__learning_rate_init': 0.003}",0.9994694702683188,0.9992408166004614,0.9990268710369044,0.9993284060677098,0.9993478643687422,0.9992826856684275,0.0001472557293931016,2,0.9993528084467072,0.9994249933557305,0.9992780719309386,0.9993947944566345,0.9993495900423487,0.9993600516464719,4.961264218322279e-05
0.4828300476074219,0.008690743746487756,0.005750083923339843,0.0009079225120106819,0.0001,"(128, 64)",0.003,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (128, 64), 'regressor__learning_rate_init': 0.003}",0.9994535920664677,0.999157009702261,0.9990678232228147,0.9992723162728682,0.9993043354350349,0.9992510153398892,0.00013170459681232846,3,0.9993284585310657,0.9993668679066767,0.9993128785429924,0.9993335872637885,0.999321200140765,0.9993325984770575,1.850031636599446e-05
0.8682679176330567,0.053973664328329986,0.015761423110961913,0.02022878272259679,0.001,"(128, 64)",0.001,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (128, 64), 'regressor__learning_rate_init': 0.001}",0.9991035669655083,0.9988356426991892,0.9987511743719363,0.9990025100641354,0.9989363300124257,0.9989258448226389,0.00012346566158098947,4,0.9989010384109449,0.9989521663106594,0.9990397960191238,0.9990997123037658,0.9989430051817699,0.9989871436452529,7.215220665063639e-05
0.8284228801727295,0.022788838032691824,0.006376409530639648,0.0010504732725023398,0.0001,"(128, 64)",0.001,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (128, 64), 'regressor__learning_rate_init': 0.001}",0.9991015225087715,0.9988358274817797,0.9987466160533034,0.998861346133133,0.9989318863660446,0.9988954397086065,0.0001188805696620314,5,0.9988980496364582,0.9989496830494782,0.9990385733846772,0.9989955536601809,0.9989393742841983,0.9989642468029987,4.840944126242312e-05
0.7521466255187989,0.031019219709615693,0.004376363754272461,0.0009036438111390025,0.01,"(128, 64)",0.001,"{'regressor__alpha': 0.01, 'regressor__hidden_layer_sizes': (128, 64), 'regressor__learning_rate_init': 0.001}",0.9991047866643562,0.9988314269169958,0.9987541020961971,0.9988058868078902,0.9989412773355043,0.9988874959641887,0.00012466386865689287,6,0.9988996177730638,0.9989580221690233,0.9990453403430312,0.99897242696004,0.998944608175725,0.9989640030841767,4.7421753382908486e-05
0.3316956996917725,0.010175789390515763,0.0054706096649169925,0.0009680075547403215,0.0001,"(64, 32)",0.003,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (64, 32), 'regressor__learning_rate_init': 0.003}",0.9989265139902679,0.998514885206231,0.9988380629913143,0.9987023051681649,0.9988223278334208,0.9987608190378797,0.0001422055554586088,7,0.9986887477796031,0.9988348220018226,0.9988904937434969,0.9988476447380923,0.9988329379251009,0.9988189292376232,6.832582785317941e-05
0.3536098480224609,0.015173863233514499,0.005216121673583984,0.0010497068009338068,0.001,"(64, 32)",0.003,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (64, 32), 'regressor__learning_rate_init': 0.003}",0.9989223653335662,0.9981586400343462,0.9988401736565613,0.9987060724522012,0.9988030931979996,0.998686068934935,0.0002727124189540147,8,0.9986758074616303,0.9986754179953765,0.9988918178010425,0.998848804973307,0.9988232669280739,0.9987830230318859,9.039597245538554e-05
0.3312515735626221,0.04209971453568753,0.005952167510986328,0.001840047789372038,0.01,"(64, 32)",0.003,"{'regressor__alpha': 0.01, 'regressor__hidden_layer_sizes': (64, 32), 'regressor__learning_rate_init': 0.003}",0.9989144217435741,0.9980943952897171,0.998846541443655,0.9985883185411699,0.9988125575289801,0.9986512469094194,0.000299154064091854,9,0.9986633615542443,0.9986512223441621,0.99889744927634,0.9987691829117341,0.9988230306157828,0.9987608493404526,9.393343246354492e-05
0.46450209617614746,0.02681726481372622,0.005477094650268554,0.002045744293717269,0.01,"(32,)",0.003,"{'regressor__alpha': 0.01, 'regressor__hidden_layer_sizes': (32,), 'regressor__learning_rate_init': 0.003}",0.9981803690091721,0.9977799656105216,0.9976479210132952,0.9985248643291664,0.9982430170150717,0.9980752273954454,0.0003197348130623416,10,0.9982241347417999,0.9981866742392368,0.9982227055363138,0.998347660834351,0.9982553662996244,0.9982473083302652,5.468886836258459e-05
0.43901405334472654,0.02166068873821353,0.005839490890502929,0.0017608788632141694,0.001,"(32,)",0.003,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32,), 'regressor__learning_rate_init': 0.003}",0.9981794601869715,0.9977772309097125,0.9976760093565356,0.9984701821457717,0.9982437154497176,0.9980693196097418,0.00029773961527065917,11,0.9982206263904383,0.9981835455557718,0.9982436798288945,0.9982710738750211,0.9982528060485731,0.9982343463397398,3.0152092393232685e-05
0.5435209751129151,0.08987112764842008,0.004580831527709961,0.0004113724378715103,0.0001,"(32,)",0.003,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (32,), 'regressor__learning_rate_init': 0.003}",0.9981793793193182,0.9977768131916813,0.9976753645527849,0.9984694558201649,0.9982436920975555,0.998068940996301,0.000297787765308749,12,0.9982204798485298,0.9981831888419327,0.9982432994977017,0.9982706025057588,0.9982526945464736,0.9982340530480794,3.0133915651995297e-05
0.6707821846008301,0.038972263484611795,0.005099678039550781,0.0006835068154882643,0.0001,"(64, 32)",0.001,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (64, 32), 'regressor__learning_rate_init': 0.001}",0.9984127959999635,0.9973824962514687,0.998195951456526,0.9975267528360559,0.998195802985947,0.9979427599059921,0.00040890779792699864,13,0.9978855829060722,0.9980637806770392,0.998217115694555,0.9979920765805836,0.9981678074456652,0.998065272660783,0.00011934654509954312
0.6458840370178223,0.036855729023663845,0.005750894546508789,0.0015280943076590268,0.001,"(64, 32)",0.001,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (64, 32), 'regressor__learning_rate_init': 0.001}",0.998409333264703,0.9973745808607654,0.998187402021941,0.9975058638292497,0.9981973373227152,0.997934903459875,0.0004137020946623119,14,0.9978836153883381,0.9980606590610084,0.9982179817951643,0.9979401295458393,0.9981715314862113,0.9980547834553123,0.00012864085641866967
0.6531068801879882,0.053870994542544966,0.004181623458862305,0.0003334707065175232,0.01,"(64, 32)",0.001,"{'regressor__alpha': 0.01, 'regressor__hidden_layer_sizes': (64, 32), 'regressor__learning_rate_init': 0.001}",0.9983863442045489,0.9973477324989241,0.9981626851605506,0.9974981545385683,0.9981808322919419,0.9979151497389068,0.0004122456912430577,15,0.9978619890237784,0.9980393914228635,0.9981957395361079,0.9979327229327933,0.9981669142022975,0.9980393514235681,0.00012927224123137775
1.1521036624908447,0.08293042833360456,0.004786825180053711,0.0011994131645952665,0.01,"(32,)",0.001,"{'regressor__alpha': 0.01, 'regressor__hidden_layer_sizes': (32,), 'regressor__learning_rate_init': 0.001}",0.9960553619692659,0.994815610727145,0.9925095861000702,0.9960881992539203,0.9956737179321524,0.9950284951965107,0.0013404449462992376,16,0.9951985838749606,0.9956459870508418,0.9957437657170756,0.9958343557821764,0.9955032597855614,0.9955851904421232,0.0002223074368524798
1.0155559539794923,0.029490203027295485,0.004512214660644531,0.00016048709539637698,0.001,"(32,)",0.001,"{'regressor__alpha': 0.001, 'regressor__hidden_layer_sizes': (32,), 'regressor__learning_rate_init': 0.001}",0.9960562546534406,0.994797564706512,0.9925007531358351,0.9960480980813753,0.9956674975319876,0.99501403362183,0.0013376073160450645,17,0.9951965711546142,0.995631840648234,0.9957432737698729,0.9957933481705161,0.9954920353482779,0.9955714138183029,0.00021412616161795427
1.2422988891601563,0.08364639746820066,0.008985090255737304,0.004053207226452367,0.0001,"(32,)",0.001,"{'regressor__alpha': 0.0001, 'regressor__hidden_layer_sizes': (32,), 'regressor__learning_rate_init': 0.001}",0.9960561348339964,0.9947973737958026,0.9924999754168369,0.9960470010403017,0.9956679683565629,0.9950136906887002,0.0013377635674217464,18,0.9951963926180964,0.9956315564938155,0.995743252673396,0.9957926985895866,0.9954920104996148,0.995571182174902,0.00021403654027725107
