case,lower_mfc_v,upper_mfc_v,pitch_deg,deflection_mm,predicted_cl,predicted_cd,predicted_lift_to_drag,cl_error,cd_violation,satisfies_cd_constraint,voltage_magnitude,method
grid_only,-250.0,1000.0,8.0,-5.431482111033022,0.15007340462363505,0.0575135709414819,2.609356403488311,7.34046236350594e-05,0.0,True,1250.0,grid_search
grid_only,-150.0,1050.0,8.0,-5.409902760692118,0.14970471963800375,0.057421662348346225,2.6071122554729613,0.0002952803619962474,0.0,True,1200.0,grid_search
grid_only,-350.0,950.0,8.0,-5.4530614613739266,0.1504420896092664,0.05760547953461758,2.611593390501321,0.00044208960926639396,0.0,True,1300.0,grid_search
grid_only,-50.0,1100.0,8.0,-5.388323410351213,0.1493360346523724,0.05732975375521055,2.604860912014639,0.000663965347627582,0.0,True,1150.0,grid_search
grid_only,-450.0,900.0,8.0,-5.474640811714831,0.15081077459489772,0.057697388127753255,2.613823250733175,0.0008107745948977285,0.0,True,1350.0,grid_search
grid_plus_refine,-250.0,1000.0,8.0,-5.431482111033022,0.15007340462363505,0.0575135709414819,2.609356403488311,7.34046236350594e-05,0.0,True,1250.0,grid_search
grid_plus_refine,-150.0,1050.0,8.0,-5.409902760692118,0.14970471963800375,0.057421662348346225,2.6071122554729613,0.0002952803619962474,0.0,True,1200.0,grid_search
grid_plus_refine,-350.0,950.0,8.0,-5.4530614613739266,0.1504420896092664,0.05760547953461758,2.611593390501321,0.00044208960926639396,0.0,True,1300.0,grid_search
grid_plus_refine,-50.0,1100.0,8.0,-5.388323410351213,0.1493360346523724,0.05732975375521055,2.604860912014639,0.000663965347627582,0.0,True,1150.0,grid_search
grid_plus_refine,-450.0,900.0,8.0,-5.474640811714831,0.15081077459489772,0.057697388127753255,2.613823250733175,0.0008107745948977285,0.0,True,1350.0,grid_search
grid_refine_max_cd,-300.0,600.0,8.0,-3.6502843714253634,0.11964149390067896,0.049927273126321406,2.3963154085738476,0.03035850609932103,0.0,True,900.0,grid_search
grid_refine_max_cd,-200.0,650.0,8.0,-3.6287050210844587,0.11927280891504763,0.04983536453318573,2.393336740531375,0.030727191084952366,0.0,True,850.0,grid_search
grid_refine_max_cd,-100.0,700.0,8.0,-3.6071256707435544,0.11890412392941631,0.04974345594005006,2.390347065405296,0.031095876070583686,0.0,True,800.0,grid_search
grid_refine_max_cd,-450.0,500.0,8.0,-3.563187569284846,0.11815343783140783,0.049556319208576366,2.3842254573854595,0.03184656216859216,0.0,True,950.0,grid_search
grid_refine_max_cd,-350.0,550.0,8.0,-3.5416082189439413,0.1177847528457765,0.04946441061544069,2.381201987050647,0.0322152471542235,0.0,True,900.0,grid_search
